[Sun Mar 22 05:25:42 PM EDT 2026] Starting KeypointDetect retraining from /home/user/src/JARVIS-HybridNet/projects/mouseJan30/models/KeypointDetect/Run_20260311-151206/EfficientTrack-medium_final.pth

============================================================
Stage 2: KeypointDetect  |  weights=/home/user/src/JARVIS-HybridNet/projects/mouseJan30/models/KeypointDetect/Run_20260311-151206/EfficientTrack-medium_final.pth  |  epochs=100
============================================================
[92mSuccessfully loaded project mouseJan30.[0m
[Info] Training KeypointDetect on project mouseJan30 for 100 epochs!
[Info] Successfully loaded weights: /home/user/src/JARVIS-HybridNet/projects/mouseJan30/models/KeypointDetect/Run_20260311-151206/EfficientTrack-medium_final.pth

  0%|          | 0/54526 [00:00<?, ?it/s]
Epoch: 1/100. Loss: 8.16488. Acc: 5.945:   0%|          | 50/54526 [00:11<1:30:02, 10.08it/s]
Epoch: 1/100. Loss: 8.16488. Acc: 5.945:   0%|          | 52/54526 [00:11<1:30:41, 10.01it/s]
Epoch: 1/100. Loss: 8.11826. Acc: 5.926:   0%|          | 52/54526 [00:11<1:30:41, 10.01it/s]
Epoch: 1/100. Loss: 8.26036. Acc: 5.971:   0%|          | 52/54526 [00:11<1:30:41, 10.01it/s]
Epoch: 1/100. Loss: 8.26036. Acc: 5.971:   0%|          | 54/54526 [00:11<1:30:33, 10.03it/s]
Epoch: 1/100. Loss: 8.25160. Acc: 6.062:   0%|          | 54/54526 [00:12<1:30:33, 10.03it/s]
Epoch: 1/100. Loss: 8.10433. Acc: 6.062:   0%|          | 54/54526 [00:12<1:30:33, 10.03it/s]
Epoch: 1/100. Loss: 8.10433. Acc: 6.062:   0%|          | 56/54526 [00:12<1:30:59,  9.98it/s]
Epoch: 1/100. Loss: 8.05347. Acc: 6.032:   0%|          | 56/54526 [00:12<1:30:59,  9.98it/s]
Epoch: 1/100. Loss: 8.05347. Acc: 6.032:   0%|          | 57/54526 [00:12<1:31:14,  9.95it/s]
Epoch: 1/100. Loss: 7.99107. Acc: 6.000:   0%|          | 57/54526 [00:12<1:31:14,  9.95it/s]
Epoch: 1/100. Loss: 8.51746. Acc: 6.102:   0%|          | 57/54526 [00:12<1:31:14,  9.95it/s]
Epoch: 1/100. Loss: 8.51746. Acc: 6.102:   0%|          | 59/54526 [00:12<1:30:19, 10.05it/s]
Epoch: 1/100. Loss: 8.48923. Acc: 6.077:   0%|          | 59/54526 [00:12<1:30:19, 10.05it/s]
Epoch: 1/100. Loss: 8.38490. Acc: 6.049:   0%|          | 59/54526 [00:12<1:30:19, 10.05it/s]
Epoch: 1/100. Loss: 8.38490. Acc: 6.049:   0%|          | 61/54526 [00:12<1:30:43, 10.01it/s]
Epoch: 1/100. Loss: 8.41961. Acc: 6.039:   0%|          | 61/54526 [00:12<1:30:43, 10.01it/s]
Epoch: 1/100. Loss: 8.37310. Acc: 6.056:   0%|          | 61/54526 [00:12<1:30:43, 10.01it/s]
Epoch: 1/100. Loss: 8.37310. Acc: 6.056:   0%|          | 63/54526 [00:12<1:30:42, 10.01it/s]
Epoch: 1/100. Loss: 8.26597. Acc: 6.017:   0%|          | 63/54526 [00:12<1:30:42, 10.01it/s]
Epoch: 1/100. Loss: 8.26597. Acc: 6.017:   0%|          | 64/54526 [00:12<1:31:07,  9.96it/s]
Epoch: 1/100. Loss: 8.27014. Acc: 6.011:   0%|          | 64/54526 [00:13<1:31:07,  9.96it/s]
Epoch: 1/100. Loss: 8.14490. Acc: 6.011:   0%|          | 64/54526 [00:13<1:31:07,  9.96it/s]
Epoch: 1/100. Loss: 8.14490. Acc: 6.011:   0%|          | 66/54526 [00:13<1:31:08,  9.96it/s]
Epoch: 1/100. Loss: 8.36144. Acc: 6.018:   0%|          | 66/54526 [00:13<1:31:08,  9.96it/s]
Epoch: 1/100. Loss: 8.28442. Acc: 6.001:   0%|          | 66/54526 [00:13<1:31:08,  9.96it/s]
Epoch: 1/100. Loss: 8.28442. Acc: 6.001:   0%|          | 68/54526 [00:13<1:30:35, 10.02it/s]
Epoch: 1/100. Loss: 8.23093. Acc: 6.003:   0%|          | 68/54526 [00:13<1:30:35, 10.02it/s]
Epoch: 1/100. Loss: 8.23047. Acc: 5.997:   0%|          | 68/54526 [00:13<1:30:35, 10.02it/s]
Epoch: 1/100. Loss: 8.23047. Acc: 5.997:   0%|          | 70/54526 [00:13<1:29:57, 10.09it/s]
Epoch: 1/100. Loss: 8.17854. Acc: 5.974:   0%|          | 70/54526 [00:13<1:29:57, 10.09it/s]
Epoch: 1/100. Loss: 8.23330. Acc: 5.984:   0%|          | 70/54526 [00:13<1:29:57, 10.09it/s]
Epoch: 1/100. Loss: 8.23330. Acc: 5.984:   0%|          | 72/54526 [00:13<1:30:48,  9.99it/s]
Epoch: 1/100. Loss: 8.12057. Acc: 5.984:   0%|          | 72/54526 [00:13<1:30:48,  9.99it/s]
Epoch: 1/100. Loss: 8.20972. Acc: 5.977:   0%|          | 72/54526 [00:13<1:30:48,  9.99it/s]
Epoch: 1/100. Loss: 8.20972. Acc: 5.977:   0%|          | 74/54526 [00:13<1:30:21, 10.04it/s]
